Date,Open,High,Low,Close,Adj Close,Volume
2019-07-10,4881.0,4969.0,4845.0,4909.0,4278.8994140625,6262628
2019-07-11,5000.0,5345.0,4941.0,5295.0,4615.353515625,26122906
2019-07-12,5225.0,5362.0,5213.0,5310.0,4628.42822265625,8381409
2019-07-15,5348.0,5348.0,5213.0,5289.0,4610.12353515625,4087440
2019-07-16,5214.0,5398.0,5214.0,5372.0,4682.4697265625,5474871
2019-07-17,5375.0,5375.0,5271.0,5298.0,4617.96826171875,7066534
2019-07-18,5274.0,5394.0,5267.0,5335.0,4650.21875,5388261
2019-07-19,5359.0,5395.0,5289.0,5358.0,4670.2666015625,5518760
2019-07-22,5340.0,5340.0,5246.0,5272.0,4595.3056640625,5269811
2019-07-23,5296.0,5364.0,5273.0,5364.0,4675.49658203125,5816744
2019-07-24,5351.0,5401.0,5348.0,5375.0,4685.0849609375,4036581
2019-07-25,5388.0,5388.0,5296.0,5349.0,4662.4228515625,5195721
2019-07-26,5345.0,5382.0,5298.0,5350.0,4663.29443359375,2900180
2019-07-29,5350.0,5427.0,5345.0,5427.0,4730.41015625,2645998
2019-07-30,5444.0,5609.0,5415.0,5528.0,4818.44677734375,6986677
2019-07-31,5503.0,5602.0,5453.0,5500.0,4794.0400390625,6625892
2019-08-01,5345.0,5522.0,5319.0,5522.0,4813.21630859375,9605903
2019-08-02,5495.0,5513.0,5325.0,5459.0,4758.30322265625,3882471
2019-08-05,5433.0,5448.0,5323.0,5389.0,4697.28759765625,5195359
2019-08-06,5358.0,5626.0,5358.0,5533.0,4822.8037109375,6506835
2019-08-07,5586.0,5622.0,5476.0,5544.0,4832.392578125,5208154
2019-08-08,5615.0,5618.0,5488.0,5488.0,4783.57958984375,4119201
2019-08-12,5528.0,5548.0,5453.0,5479.0,4775.7353515625,3921645
2019-08-13,5450.0,5457.0,5330.0,5382.0,4691.1865234375,4764916
2019-08-14,5409.0,5442.0,5187.0,5222.0,4551.72314453125,5349629
2019-08-15,5232.0,5260.0,5134.0,5248.0,4574.3857421875,6547395
2019-08-16,5248.0,5339.0,5192.0,5324.0,4640.630859375,5870828
2019-08-19,5341.0,5441.0,5312.0,5394.0,4701.6455078125,2498614
2019-08-20,5475.0,5458.0,5118.0,5210.0,4541.26318359375,7243980
2019-08-21,5150.0,5404.0,5178.0,5350.0,4663.29443359375,5590649
2019-08-22,5375.0,5438.0,5119.0,5175.0,4510.755859375,9241289
2019-08-23,5230.0,5229.0,5119.0,5210.0,4541.26318359375,3417664
2019-08-26,5106.0,5210.0,5100.0,5134.0,4475.01806640625,2452265
2019-08-27,5121.0,5155.0,5057.0,5119.0,4461.94384765625,4763194
2019-08-28,5119.0,5205.0,5049.0,5205.0,4536.90478515625,2762819
2019-08-29,5257.0,5502.0,5258.0,5393.0,4700.77392578125,7776080
2019-08-30,5354.0,5669.0,5317.0,5518.0,4809.7294921875,5682407
2019-09-02,5545.0,5583.0,5370.0,5370.0,4680.72607421875,2359811
2019-09-03,5370.0,5457.0,5336.0,5416.0,4720.82177734375,2300640
2019-09-04,5477.0,5492.0,5385.0,5387.0,4695.5439453125,1416883
2019-09-05,5429.0,5467.0,5368.0,5442.0,4743.48486328125,2986783
2019-09-06,5396.0,5520.0,5390.0,5507.0,4800.1416015625,3399026
2019-09-09,5515.0,5536.0,5457.0,5523.0,4814.087890625,3521758
2019-09-10,5455.0,5510.0,5399.0,5438.0,4739.998046875,4673533
2019-09-11,5477.0,5468.0,5364.0,5429.0,4732.1533203125,3809109
2019-09-12,5429.0,5603.0,5401.0,5584.0,4867.25830078125,5239965
2019-09-13,5529.0,5692.0,5528.0,5680.0,4950.93603515625,3278829
2019-09-16,5679.0,5947.0,5658.0,5947.0,5183.6650390625,6471698
2019-09-17,5889.0,5951.0,5745.0,5928.0,5167.103515625,7745638
2019-09-18,5800.0,5897.0,5739.0,5884.0,5215.41064453125,3661692
